"","x","y","sp","Reference"
"193",-50.237433,-30.103306,"Dicksonia sellowiana","GBIF"
"194",-50.233611,-27.361111,"Dicksonia sellowiana","IFFSC"
"195",-50.23279953,-30.24749947,"Cyathea delgadii","SpeciesLink"
"196",-50.23279953,-30.24749947,"Lophosoria quadripinnata","SpeciesLink"
"197",-50.231944,-30.087778,"Cyathea atrovirens","GBIF"
"198",-50.223333,-26.8175,"Dicksonia sellowiana","GBIF"
"199",-50.223333,-26.8175,"Lophosoria quadripinnata","GBIF"
"200",-50.221667,-24.885278,"Cyathea atrovirens","GBIF"
"201",-50.221667,-24.885278,"Cyathea delgadii","GBIF"
"202",-50.221667,-24.885278,"Cyathea villosa","GBIF"
"203",-50.220278,-26.91,"Cyathea feeana","GBIF"
"204",-50.22,-27.630833,"Dicksonia sellowiana","IFFSC"
"205",-50.22,-27,"Cyathea corcovadensis","IFFSC"
"206",-50.22,-27,"Cyathea delgadii","IFFSC"
"207",-50.219722,-26.909722,"Cyathea phalerata","IFFSC"
"208",-50.19720078,-25.98609924,"Cyathea corcovadensis","SpeciesLink"
"209",-50.189811,-29.864942,"Dicksonia sellowiana","GBIF"
"210",-50.186944,-29.868889,"Cyathea atrovirens","GBIF"
"211",-50.181389,-24.873889,"Alsophila setosa","GBIF"
"212",-50.1714,-25.0949,"Gymnosphaera capensis","SpeciesLink"
"213",-50.146111,-27.856667,"Gymnosphaera capensis","GBIF"
"214",-50.1446991,-29.04780006,"Gymnosphaera capensis","SpeciesLink"
"215",-50.132778,-26.103056,"Dicksonia sellowiana","IFFSC"
"216",-50.131944,-26.731667,"Alsophila setosa","IFFSC"
"217",-50.131944,-26.731667,"Cyathea delgadii","GBIF"
"218",-50.131944,-26.731667,"Sphaeropteris gardneri","IFFSC"
"219",-50.130556,-27.000278,"Dicksonia sellowiana","GBIF"
"220",-50.13,-27.18,"Cyathea delgadii","IFFSC"
"221",-50.13,-27.18,"Cyathea phalerata","IFFSC"
"222",-50.13,-26.64,"Dicksonia sellowiana","IFFSC"
"223",-50.129444,-27.900278,"Dicksonia sellowiana","IFFSC"
"224",-50.115147,-29.119564,"Cyathea atrovirens","GBIF"
"225",-50.110597,-29.512881,"Dicksonia sellowiana","GBIF"
"226",-50.100556,-29.162222,"Cyathea phalerata","GBIF"
"227",-50.100556,-29.162222,"Dicksonia sellowiana","GBIF"
"228",-50.0975,-29.184722,"Alsophila setosa","GBIF"
"229",-50.039444,-27.540278,"Dicksonia sellowiana","GBIF"
"230",-50.038333,-27.361389,"Cyathea phalerata","GBIF"
