x;y;Species;Reference
-49.770278;-27.27;Alsophila setosa;IFFSC
-49.41;-27.27;Alsophila setosa;IFFSC
-49.320278;-27.271389;Alsophila setosa;IFFSC
-49.051944;-27.268611;Alsophila setosa;IFFSC
-48.809444;-27.271111;Alsophila setosa;IFFSC
-49.68;-27.18;Alsophila setosa;IFFSC
-49.41;-27.18;Alsophila setosa;IFFSC
-49.32;-27.18;Alsophila setosa;IFFSC
-48.871111;-27.181944;Alsophila setosa;IFFSC
-50.22;-27.0925;Alsophila setosa;IFFSC
-49.8575;-27.089444;Alsophila setosa;IFFSC
-49.77;-27.09;Alsophila setosa;IFFSC
-49.59;-27.09;Alsophila setosa;IFFSC
-49.41;-27.09;Alsophila setosa;IFFSC
-49.32;-27.089722;Alsophila setosa;IFFSC
-48.78;-27.09;Alsophila setosa;IFFSC
-52.199722;-26.999722;Alsophila setosa;IFFSC
-49.589444;-26.998056;Alsophila setosa;IFFSC
-49.32;-26.999722;Alsophila setosa;IFFSC
-50.128611;-26.908611;Alsophila setosa;IFFSC
-49.77;-26.91;Alsophila setosa;IFFSC
-49.677778;-26.908333;Alsophila setosa;IFFSC
-49.588056;-26.911667;Alsophila setosa;IFFSC
-49.410833;-26.91;Alsophila setosa;IFFSC
-49.769444;-26.821389;Alsophila setosa;IFFSC
-49.5;-26.82;Alsophila setosa;IFFSC
-50.131944;-26.731667;Alsophila setosa;IFFSC
-48.87;-28.08;Alsophila setosa;IFFSC
-49.4075;-26.7275;Alsophila setosa;IFFSC
-48.869722;-27.99;Alsophila setosa;IFFSC
-48.960833;-27.809722;Alsophila setosa;IFFSC
-48.69;-27.81;Alsophila setosa;IFFSC
-49.049444;-27.630278;Alsophila setosa;IFFSC
-49.679444;-27.539444;Alsophila setosa;IFFSC
-49.14;-27.54;Alsophila setosa;IFFSC
-49.049722;-27.54;Alsophila setosa;IFFSC
-49.5;-26.64;Alsophila setosa;IFFSC
-49.861667;-27.450556;Alsophila setosa;IFFSC
-48.87;-27.45;Alsophila setosa;IFFSC
-49.41;-27.360278;Alsophila setosa;IFFSC
-50.312778;-26.551389;Alsophila setosa;IFFSC
-49.946667;-26.549444;Alsophila setosa;IFFSC
-49.68;-26.55;Alsophila setosa;IFFSC
-49.23;-27.27;Alsophila setosa;IFFSC
-49.32;-26.55;Alsophila setosa;IFFSC
-50.13;-27.18;Alsophila setosa;IFFSC
-49.23;-27.18;Alsophila setosa;IFFSC
-50.0375;-27.091944;Alsophila setosa;IFFSC
-49.23;-27.09;Alsophila setosa;IFFSC
-50.489167;-26.459722;Alsophila setosa;IFFSC
-49.948889;-26.460278;Alsophila setosa;IFFSC
-49.41;-26.46;Alsophila setosa;IFFSC
-50.22;-27;Alsophila setosa;IFFSC
-50.13;-27;Alsophila setosa;IFFSC
-49.41;-27;Alsophila setosa;IFFSC
-50.938056;-26.371111;Alsophila setosa;IFFSC
-49.23;-26.999722;Alsophila setosa;IFFSC
-50.765833;-26.373056;Alsophila setosa;IFFSC
-50.219722;-26.909722;Alsophila setosa;IFFSC
-49.8625;-26.909722;Alsophila setosa;IFFSC
-49.499444;-26.910278;Alsophila setosa;IFFSC
-53.281667;-26.282222;Alsophila setosa;IFFSC
-49.228333;-26.278056;Alsophila setosa;IFFSC
-49.14;-26.28;Alsophila setosa;IFFSC
-49.05;-26.28;Alsophila setosa;IFFSC
-49.591389;-26.731389;Alsophila setosa;IFFSC
-49.140833;-26.187222;Alsophila setosa;IFFSC
-49.321667;-26.730556;Alsophila setosa;IFFSC
-48.69;-26.19;Alsophila setosa;IFFSC
-50.132778;-26.103056;Alsophila setosa;IFFSC
-49.950833;-26.099444;Alsophila setosa;IFFSC
-50.4;-26.64;Alsophila setosa;IFFSC
-49.86;-26.64;Alsophila setosa;IFFSC
-48.78;-26.008611;Alsophila setosa;IFFSC
-49.411389;-26.638333;Alsophila setosa;IFFSC
-49.23;-26.64;Alsophila setosa;IFFSC
-51975;-27.405833;Alsophila setosa;IFFSC
-49.41;-26.549722;Alsophila setosa;IFFSC
-52.562222;-27.175833;Alsophila setosa;IFFSC
-49.05;-26.550278;Alsophila setosa;IFFSC
-52.470556;-27.178333;Alsophila setosa;IFFSC
-52.29;-27.18;Alsophila setosa;IFFSC
-49.047778;-26.1925;Alsophila setosa;IFFSC
-50.301944;-26.216389;Alsophila setosa;IFFSC
-52.379444;-27045;Alsophila setosa;IFFSC
-53.285556;-26.308889;Alsophila setosa;IFFSC
-48.298056;-25.178056;Alsophila sternbergii;GBIF
-47.869417;-24.809833;Alsophila sternbergii;GBIF
-47.92;-24.18;Alsophila sternbergii;GBIF
-46.387953;-23.873871;Alsophila sternbergii;GBIF
-48.84617167;-26.30829608;Alsophila sternbergii;GBIF
-48.693333;-24.539444;Alsophila sternbergii;GBIF
-48.396389;-24.6275;Alsophila sternbergii;GBIF
-48.419167;-24.2775;Alsophila sternbergii;GBIF
-46.828611;-24.166389;Alsophila sternbergii;GBIF
-46.332222;-23.961944;Alsophila sternbergii;GBIF
-48.645278;-25.284722;Alsophila sternbergii;GBIF
-46.93333;-24.25;Alsophila sternbergii;GBIF
-48.348389;-25.124222;Alsophila sternbergii;GBIF
-48.966667;-25.433333;Alsophila sternbergii;GBIF
-47.558333;-24.166667;Alsophila sternbergii;GBIF
-48.666667;-25.316667;Alsophila sternbergii;GBIF
-48.384806;-25.177389;Alsophila sternbergii;GBIF
-48.83440018;-25.4769001;Alsophila sternbergii;SpeciesLink
-48.778889;-27.688611;Cyathea atrovirens;GBIF
-48.683889;-27.962222;Cyathea atrovirens;GBIF
-48.87;-27.45;Cyathea atrovirens;GBIF
-49.14;-27.54;Cyathea atrovirens;GBIF
-49.315556;-28.617778;Cyathea atrovirens;GBIF
-48.953333;-26.036667;Cyathea atrovirens;GBIF
-49.051944;-27.268611;Cyathea atrovirens;GBIF
-49.497222;-28.529167;Cyathea atrovirens;GBIF
-48.624675;-26.126842;Cyathea atrovirens;GBIF
-48.333333;-25.283333;Cyathea atrovirens;GBIF
-49.2738;-26173;Cyathea atrovirens;GBIF
-47.5923;-24033;Cyathea atrovirens;GBIF
-47.5939;-24.0829;Cyathea atrovirens;GBIF
-49.414684;-25.470407;Cyathea atrovirens;GBIF
-52.4574;-24.5128;Cyathea atrovirens;GBIF
-49.7159;-26.0267;Cyathea atrovirens;GBIF
